iter	Passed	Remaining
1105	227971	184273
1106	228185	184073
1107	228419	183889
1108	228598	183662
1109	228775	183432
1110	228959	183208
1111	229129	182974
1112	229297	182737
1113	229476	182509
1114	229675	182298
1115	229853	182070
1116	229989	181808
1117	230164	181578
1118	230342	181351
1119	230534	181134
1120	230718	180910
1121	230902	180688
1122	231089	180468
1123	231286	180255
1124	231465	180028
1125	231639	179798
1126	231814	179569
1127	231990	179340
1128	232163	179109
1129	232327	178871
1130	232561	178687
1131	232824	178526
1132	233039	178327
1133	233294	178159
1134	233577	178012
1135	233836	177847
1136	234163	177733
1137	234429	177573
1138	234648	177377
1139	234899	177204
1140	235121	177011
1141	235381	176845
1142	235656	176690
1143	235875	176494
1144	236175	176358
1145	236474	176221
1146	236771	176082
1147	237037	175919
1148	237285	175743
1149	237543	175575
1150	237837	175433
1151	238124	175285
1152	238505	175207
1153	238864	175112
1154	239242	175030
1155	239505	174864
1156	239823	174737
1157	240158	174623
1158	240608	174591
1159	240947	174479
1160	241239	174332
1161	241555	174202
1162	241935	174118
1163	242207	173956
1164	242474	173791
1165	242747	173629
1166	242953	173419
1167	243201	173239
1168	243389	173016
1169	243592	172804
1170	243787	172587
1171	243994	172378
1172	244172	172148
1173	244350	171919
1174	244550	171705
1175	244717	171468
1176	244890	171235
1177	245057	170999
1178	245235	170770
1179	245435	170556
1180	245612	170327
1181	245799	170105
1182	245980	169878
1183	246154	169646
1184	246356	169434
1185	246559	169223
1186	246756	169008
1187	246901	168757
1188	247069	168522
1189	247235	168286
1190	247411	168057
1191	247589	167828
1192	247762	167597
1193	247924	167359
1194	248123	167146
1195	248431	167005
1196	248622	166787
1197	248764	166535
1198	248918	166291
1199	249076	166051
1200	249255	165824
1201	249491	165636
1202	249675	165412
1203	249893	165211
1204	250133	165025
1205	250398	164855
1206	250597	164642
1207	250781	164419
1208	250959	164192
1209	251134	163963
1210	251305	163732
1211	251486	163507
1212	251658	163276
1213	251807	163032
1214	251978	162801
1215	252151	162571
1216	252325	162342
1217	252501	162114
1218	252676	161887
1219	252847	161656
1220	253059	161452
1221	253361	161305
1222	253626	161134
1223	253854	160940
1224	254039	160718
1225	254252	160514
1226	254455	160304
1227	254632	160078
1228	254813	159854
1229	254999	159633
1230	255164	159399
1231	255346	159177
1232	255544	158964
1233	255866	158827
1234	256228	158716
1235	256412	158494
1236	256636	158296
1237	256890	158118
1238	257141	157937
1239	257355	157734
1240	257540	157512
1241	257739	157299
1242	257917	157074
1243	258113	156860
1244	258302	156641
1245	258549	156457
1246	258873	156320
1247	259074	156108
1248	259246	155879
1249	259496	155698
1250	259747	155516
1251	260021	155348
1252	260189	155116
1253	260440	154934
1254	260655	154731
1255	260819	154497
1256	260973	154258
1257	261175	154047
1258	261411	153856
1259	261648	153666
1260	261972	153527
1261	262246	153357
1262	262554	153208
1263	262723	152978
1264	262920	152764
1265	263184	152588
1266	263447	152413
1267	263679	152219
1268	263888	152011
1269	264087	151798
1270	264390	151644
1271	264595	151435
1272	264801	151226
1273	265007	151016
1274	265267	150838
1275	265930	150888
1276	266196	150712
1277	266479	150546
1278	266730	150361
1279	267059	150220
1280	267455	150117
1281	267680	149917
1282	267938	149736
1283	268204	149559
1284	268443	149367
1285	268719	149195
1286	268962	149005
1287	269216	148821
1288	269527	148668
1289	269760	148472
1290	270039	148301
1291	270339	148142
1292	270530	147923
1293	270873	147787
1294	271202	147643
1295	271409	147432
1296	271717	147276
1297	272026	147120
1298	272318	146955
1299	272557	146761
1300	272812	146576
1301	273479	146612
1302	274005	146570
1303	274261	146385
1304	274513	146196
1305	274745	145998
1306	275010	145816
1307	275312	145654
1308	275615	145492
1309	276007	145378
1310	276206	145161
1311	276401	144942
1312	276573	144711
1313	276763	144489
1314	276999	144292
1315	277214	144083
1316	277404	143862
1317	277566	143627
1318	277723	143388
1319	277945	143183
1320	278122	142956
